company,ticker,date,metric_id,value,unit,period,source_type,raw_text,confidence,section,is_trap,disposition,disposition_reason,split
Meta Platforms,META,2025-01-29,cm_daily_active_users,3300000000,count,Q4 2024,text,We ended 2024 on a strong note with now more than 3.3 billion people using at least one of our apps each day.,HIGH,prepared_remarks,false,ACCEPT,Family of Apps DAU verbatim in transcript,test
Meta Platforms,META,2025-01-29,cm_monthly_active_users,320000000,count,Q4 2024,text,Threads now has more than 320 million monthly actives and has been adding more than 1 million sign-ups per day.,HIGH,prepared_remarks,false,ACCEPT,Threads product-level MAU verbatim in transcript,test
Meta Platforms,META,2025-01-29,cm_monthly_active_users,100000000,count,Q4 2024,text,WhatsApp now has more than 100 million monthly actives in the U.S.,HIGH,prepared_remarks,false,ACCEPT,WhatsApp U.S. MAU verbatim in transcript,test
Meta Platforms,META,2025-01-29,cm_monthly_active_users,3000000000,count,Q4 2024,text,Facebook is used by more than 3 billion monthly actives and we're focused on growing its cultural influence.,HIGH,prepared_remarks,false,ACCEPT,Facebook platform MAU verbatim in transcript,test
Meta Platforms,META,2025-01-29,cm_monthly_active_users,700000000,count,Q4 2024,text,"Meta AI usage continues to scale, with more than 700 million monthly actives.",HIGH,prepared_remarks,false,ACCEPT,Meta AI MAU verbatim in transcript,test
Meta Platforms,META,2025-04-30,cm_daily_active_users,3400000000,count,Q1 2025,text,more than 3.4 billion people now using at least one of our apps each day,HIGH,prepared_remarks,false,ACCEPT,Family of Apps DAU verbatim in transcript,test
Meta Platforms,META,2025-04-30,cm_monthly_active_users,350000000,count,Q1 2025,text,Threads now also has more than 350 million monthly actives,HIGH,prepared_remarks,false,ACCEPT,Threads MAU verbatim in transcript,test
Meta Platforms,META,2025-04-30,cm_monthly_active_users,3000000000,count,Q1 2025,text,WhatsApp now has more than 3 billion monthly actives,HIGH,prepared_remarks,false,ACCEPT,WhatsApp MAU verbatim in transcript,test
Meta Platforms,META,2025-04-30,cm_monthly_active_users,1000000000,count,Q1 2025,text,Messenger is also used by more than a billion people each month,HIGH,prepared_remarks,false,ACCEPT,Messenger MAU verbatim in transcript,test
Meta Platforms,META,2025-04-30,cm_monthly_active_users,1000000000,count,Q1 2025,text,"Across our apps, there are now almost a billion monthly actives using Meta AI",HIGH,prepared_remarks,false,ACCEPT,"Edited metric_id from cm_active_customers_total to cm_monthly_active_users; value is upper bound per ""almost a billion""; consistent with Q4 Meta AI MAU annotation",test
Microsoft,MSFT,2025-01-29,cm_monthly_active_users,30000000,count,Q2 FY2025,text,"Power BI is also deeply integrated with Fabric with over 30 million monthly active users, up 40% since last year.",HIGH,prepared_remarks,FALSE,ACCEPT,,tuning
Microsoft,MSFT,2025-01-29,cm_customers_period_end,19000,count,Q2 FY2025,text,"We now have over 19,000 paid customers from Hitachi to Johnson Controls to Schaeffler.",HIGH,prepared_remarks,FALSE,ACCEPT,,tuning
Microsoft,MSFT,2025-01-29,cm_monthly_active_users,200000,count,Q2 FY2025,text,"Two months in, we already have more than 200,000 monthly active users and we are well positioned with our support of both OpenAI's leading models and the best selection of Open Source models and SLMs.",HIGH,prepared_remarks,FALSE,ACCEPT,,tuning
Microsoft,MSFT,2025-01-29,cm_arr,2000000000,currency,Q2 FY2025,text,"In subscriptions, LinkedIn premiums surpassed $2 billion in annual revenue for the first time this quarter.",HIGH,prepared_remarks,FALSE,ACCEPT,,tuning
Microsoft,MSFT,2025-01-29,cm_customers_period_end,86300000,count,Q2 FY2025,text,We saw continued momentum in M365 consumer subscriptions which grew 10% to 86.3 million with mix shift to M365 Basic.,HIGH,prepared_remarks,FALSE,ACCEPT,,tuning
Microsoft,MSFT,2025-04-30,cm_daily_active_users,320000000,count,Q3 FY2025,text,Teams daily active users reached 320 million,HIGH,prepared_remarks,false,ACCEPT,,tuning
Microsoft,MSFT,2025-04-30,cm_monthly_active_users,50000000,count,Q3 FY2025,text,"With Visual Studio and VS Code, we have the world's most popular editor, with over 50 million monthly active users.",HIGH,prepared_remarks,false,ACCEPT,,tuning
Microsoft,MSFT,2025-04-30,cm_monthly_active_users,56000000,count,Q3 FY2025,text,"We now have 56 million monthly active Power Platform users, up 27% year-over-year",HIGH,prepared_remarks,false,ACCEPT,,tuning
Microsoft,MSFT,2025-04-30,cm_monthly_active_users,900000000,count,Q3 FY2025,text,"in identity, Entra now has more than 900 million monthly active users.",HIGH,prepared_remarks,false,ACCEPT,,tuning
Microsoft,MSFT,2025-04-30,cm_monthly_active_users,500000000,count,Q3 FY2025,text,we bring our games to over 500 million monthly active users across devices.,HIGH,prepared_remarks,false,ACCEPT,,tuning
Microsoft,MSFT,2025-04-30,cm_customers_period_end,21000,count,Q3 FY2025,text,"Microsoft Fabric has more than 21,000 paid customers, up 80% year-over-year.",HIGH,prepared_remarks,false,ACCEPT,,tuning
Microsoft,MSFT,2025-04-30,cm_customers_period_end,70000,count,Q3 FY2025,text,"Foundry is the agent and AI app factory. It is now used by developers at over 70,000 enterprises and digital natives",HIGH,prepared_remarks,false,ACCEPT,,tuning
Microsoft,MSFT,2025-04-30,cm_customers_period_end,15000000,count,Q3 FY2025,text,"All-up, we now have over 15 million GitHub Copilot users, up over 4X year-over-year.",HIGH,prepared_remarks,false,ACCEPT,,tuning
Microsoft,MSFT,2025-04-30,cm_customers_period_end,1400000,count,Q3 FY2025,text,"All up, we now have 1.4 million security customers.",HIGH,prepared_remarks,false,ACCEPT,,tuning
Microsoft,MSFT,2025-04-30,cm_large_customers_period_end,900000,count,Q3 FY2025,text,"Over 900,000 – including EY Global, Manpower Group, TriNet, Regions Bank – have 4 or more workloads, up 21% year-over-year.",HIGH,prepared_remarks,false,ACCEPT,,tuning
Microsoft,MSFT,2025-04-30,cm_customers_period_end,230000,count,Q3 FY2025,text,"More than 230,000 organizations – including 90% of the Fortune 500 – have already used Copilot Studio.",HIGH,prepared_remarks,false,ACCEPT,,tuning
Microsoft,MSFT,2025-04-30,cm_customers_period_end,430000000,count,Q3 FY2025,text,Paid M365 commercial seats grew 7% year over year to over 430 million.,HIGH,prepared_remarks,false,ACCEPT,,tuning
Microsoft,MSFT,2025-04-30,cm_customers_period_end,87700000,count,Q3 FY2025,text,M365 consumer subscriptions grew 9% to 87.7 million.,HIGH,prepared_remarks,false,ACCEPT,,tuning
PayPal,PYPL,2025-02-04,cm_large_customers_period_end,9,percent,Q4 2024,text,"Power users, which are PayPal consumer accounts transacting more than 100 times per year, grew more than 9% year-over-year in the fourth quarter.",MEDIUM,prepared_remarks,false,EDIT,"this was an indication of the growth in number of large customers, not of the repeat purchase rate",test
PayPal,PYPL,2025-02-04,cm_monthly_active_users,64000000,count,Q4 2024,text,"Our engaged Venmo user base grew 4% in the quarter, reaching more than 64 million monthly active accounts.",HIGH,prepared_remarks,false,ACCEPT,,test
PayPal,PYPL,2025-02-04,cm_new_customers_acquired,1500000,count,Q4 2024,text,We added more than 1.5 million first-time PayPal debit card users in the fourth quarter.,HIGH,prepared_remarks,false,ACCEPT,,test
PayPal,PYPL,2025-02-04,cm_revenue_per_customer,,ratio,Q4 2024,text,The average debit card actives generate 5 times the transaction activity and 2 times the average revenue per account compared to users who only use Branded Checkout.,HIGH,prepared_remarks,false,ACCEPT,,test
PayPal,PYPL,2025-02-04,cm_customers_period_end,2000,count,Q4 2024,text,"We now have nearly 2,000 merchants up and running with Fastlane.",HIGH,prepared_remarks,false,EDIT,"customers, not active customers",test
PayPal,PYPL,2025-04-29,cm_revenue_per_customer,2,ratio,Q1 2025,text,users who adopted the PayPal debit card transacted nearly six times more and generated more than two times the average revenue per account compared to those who used online branded checkout only,MEDIUM,prepared_remarks,false,EDIT,Fixed unit from percent to ratio; value is a multiplier not a percentage,test
PayPal,PYPL,2025-04-29,cm_new_customers_acquired,4000000,count,Q1 2025,text,"4 million new debit card active, so really starting to see strong demand from our consumer base",MEDIUM,q_and_a,false,ACCEPT,,test
PayPal,PYPL,2025-04-29,cm_monthly_active_users,,percent,Q1 2025,text,BNPL monthly active accounts grew 18% year-over-year,MEDIUM,prepared_remarks,false,ACCEPT,,test
PayPal,PYPL,2025-04-29,cm_active_customers_total,436000000,count,Q1 2025,text,"total active accounts increased by about 1.5 million from the fourth quarter and over 8 million versus the prior year's first quarter, to 436 million",HIGH,prepared_remarks,false,ACCEPT,,test
PayPal,PYPL,2025-04-29,cm_active_customers_total,224000000,count,Q1 2025,text,"Monthly active accounts continue to show steady progress, up 2% year-over-year to 224 million",HIGH,prepared_remarks,false,ACCEPT,,test
PayPal,PYPL,2025-04-29,cm_new_customers_acquired,2000000,count,Q1 2025,text,"approximately 2 million first-time PayPal and Venmo debit card users in the quarter, an increase of nearly 90% from last year",HIGH,prepared_remarks,false,ACCEPT,,test
T-Mobile,TMUS,2025-01-29,cm_new_customers_acquired,3000000,count,FY2024,text,2024 marked our third straight year of more than 3 million postpaid phone net additions.,HIGH,prepared_remarks,false,ACCEPT,,test
T-Mobile,TMUS,2025-01-29,cm_new_customers_acquired,903000,count,Q4 2024,text,"In Q4, we once again led the industry in postpaid phone net additions with 903,000",HIGH,prepared_remarks,false,ACCEPT,,test
T-Mobile,TMUS,2025-01-29,cm_new_customers_acquired,428000,count,Q4 2024,text,"in Q4, for the 12th quarter in a row, we led the industry in broadband growth with 428,000 net additions",HIGH,prepared_remarks,false,ACCEPT,,test
T-Mobile,TMUS,2025-01-29,cm_revenue_per_customer,3,percent,FY2024,text,We just delivered just over 3% ARPA growth in a very successful '24,HIGH,q_and_a,false,EDIT,"text provided value of ""3%""",test
T-Mobile,TMUS,2025-01-29,cm_new_customers_acquired,250000,count,FY2024,text,"over 250,000 prepaid net adds, the company's lowest churn ever for a full year in 2024",HIGH,q_and_a,false,ACCEPT,,test
T-Mobile,TMUS,2025-04-24,cm_new_customers_acquired,50000,count,Q1 2025,text,"This particular quarter that we just finished nearly 50,000",MEDIUM,q_and_a,false,ACCEPT,"Verbatim (Jon Freier Q&A); Q1 prepaid net additions ~50K; value is upper bound per ""nearly""",test
T-Mobile,TMUS,2025-04-24,cm_new_customers_acquired,350000,count,trailing_four_quarters,text,"When you look at the last four quarters, 350,000 post prepaid net adds over the last four quarters",MEDIUM,q_and_a,false,ACCEPT,Verbatim (Jon Freier Q&A); trailing-4Q prepaid net additions,test
T-Mobile,TMUS,2025-04-24,cm_new_customers_acquired,1300000,count,Q1 2025,text,it was just a phenomenal quarter for us at 1.3 million total postpaid net additions,HIGH,q_and_a,false,ACCEPT,Edited raw_text and source_type to Q&A quote containing actual figure; total postpaid net additions Q1 2025 record,test
T-Mobile,TMUS,2025-04-24,cm_new_customers_acquired,495000,count,Q1 2025,text,"We also led the industry once again in postpaid phones, adding 495,000",HIGH,prepared_remarks,false,ACCEPT,Verbatim; postpaid phone net additions Q1 2025,test
T-Mobile,TMUS,2025-04-24,cm_new_customers_acquired,424000,count,Q1 2025,text,"For the thirteenth quarter in a row, we led the entire broadband industry in customer growth with 424,000 net additions",HIGH,prepared_remarks,false,ACCEPT,Verbatim; 5G broadband net additions Q1 2025,test
T-Mobile,TMUS,2025-04-24,cm_customers_period_end,25500000,count,Q1 2025,text,We're serving nearly 25.5 million prepaid customers,HIGH,q_and_a,false,ACCEPT,"Verbatim (Jon Freier Q&A); total prepaid customers at period end; value is upper bound per ""nearly""",test
